dataset,k_name,k,n,L,linear_regret,linear_regret_per_k
Swiss NSF,k10pct,35,353,23.18693071634249,0.0020670243247131737,5.905783784894782e-05
Swiss NSF,k10pct,35,353,23.8600517129929,0.0017486011746683516,4.99600335619529e-05
Swiss NSF,k10pct,35,353,24.53317270964331,0.0014334378321017027,4.095536663147722e-05
Swiss NSF,k10pct,35,353,25.206293706293717,0.0014027745213986975,4.007927203996279e-05
Swiss NSF,k33pct,118,353,1.8333333333333317,1.0373787618940185,0.008791345439779817
Swiss NSF,k33pct,118,353,2.1666666666666643,0.6512885099778885,0.005519394152354987
Swiss NSF,k33pct,118,353,2.4999999999999964,0.45447315748388917,0.0038514674363041455
Swiss NSF,k33pct,118,353,2.833333333333329,0.34705769364072125,0.0029411668952603496
Swiss NSF,k33pct,118,353,3.1666666666666616,0.2648011323117032,0.002244077392472061
Swiss NSF,k33pct,118,353,3.499999999999994,0.2075965789013594,0.0017592930415369441
Swiss NSF,k33pct,118,353,3.8333333333333264,0.1608567921431927,0.0013631931537558704
Swiss NSF,k33pct,118,353,4.166666666666659,0.1297744383811903,0.0010997833761117821
Swiss NSF,k33pct,118,353,4.499999999999991,0.11564990281826226,0.0009800839221886632
Swiss NSF,k33pct,118,353,4.833333333333323,0.10475767274502346,0.0008877768876696903
Swiss NSF,k33pct,118,353,5.166666666666655,0.09402941153311417,0.000796859419772154
Swiss NSF,k33pct,118,353,5.238095238095234,0.09173049841628256,0.0007773771052227335
Swiss NSF,k33pct,118,353,5.4999999999999885,0.08330115032124752,0.000705941951874979
Swiss NSF,k33pct,118,353,5.8333333333333215,0.07258508989019674,0.0006151278804253961
Swiss NSF,k33pct,118,353,5.935378735152467,0.07040743770618008,0.0005966732008998312
Swiss NSF,k33pct,118,353,6.166666666666654,0.06547174574728842,0.0005548453029431222
Swiss NSF,k33pct,118,353,6.499999999999986,0.06043556311414022,0.0005121657891028833
Swiss NSF,k33pct,118,353,6.833333333333318,0.056079931972789154,0.0004752536607863488
Swiss NSF,k33pct,118,353,7.16666666666665,0.051724300831438086,0.0004383415324698143
Swiss NSF,k33pct,118,353,7.216797153320295,0.0510692511050479,0.0004327902636021008
Swiss NSF,k33pct,118,353,7.499999999999982,0.04736866969008702,0.0004014294041532798
Swiss NSF,k33pct,118,353,7.619047619047604,0.04581308713960652,0.0003882465011831061
Swiss NSF,k33pct,118,353,7.833333333333316,0.0441456197641088,0.0003741154217297356
Swiss NSF,k33pct,118,353,8.166666666666648,0.0415852003417001,0.00035241695204830595
Swiss NSF,k33pct,118,353,8.49999999999998,0.03903854200409285,0.0003308351017296004
Swiss NSF,k33pct,118,353,8.833333333333313,0.037808360778171846,0.00032040983710315124
Swiss NSF,k33pct,118,353,9.166666666666645,0.036578179552236634,0.0003099845724765816
Swiss NSF,k33pct,118,353,9.499999999999977,0.03534799832630142,0.00029955930785001205
Swiss NSF,k33pct,118,353,9.83333333333331,0.03411781710036621,0.0002891340432234425
Swiss NSF,k33pct,118,353,9.999999999999975,0.033502726487398604,0.00028392141091015765
Swiss NSF,k33pct,118,353,10.166666666666643,0.03288763587444521,0.0002787087785969933
