dataset,k_name,rank_target,mechanism,item_idx,review_col,k,L,tick,l11_delta,utility_before,utility_after,utility_delta_abs,l1_prob_change,local_smoothness,softmax_search_samples,softmax_search_reps,softmax_final_samples,softmax_final_reps
Beta,k33pct,k,softmax,34,0,67,1.0,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.09633333333333295,0.8669999999999967,800,2,10000,3
Beta,k33pct,k+1,linear,125,0,67,1.0,0.1111111111111111,0.1111111111111111,0.5942645695925027,0.5720423473702805,0.022222222222222254,0.1101010101010089,0.9909090909090801,0,0,0,0
Beta,k33pct,k+1,softmax,125,0,67,1.0,0.1111111111111111,0.11111111111111116,0.5942645695925027,0.616486791814725,0.022222222222222254,0.09566666666666639,0.8609999999999971,800,2,10000,3
Beta,k50pct,k,linear,5,0,100,0.2,0.1111111111111111,0.11111111111111105,0.4834682944753757,0.5056905166975978,0.022222222222222088,0.02211111111110403,0.1989999999999364,0,0,0,0
Beta,k50pct,k,softmax,5,0,100,0.2,0.1111111111111111,0.1111111111111111,0.4834682944753757,0.46124607225315345,0.022222222222222254,0.020466666666666838,0.18420000000000156,800,2,10000,3
Beta,k50pct,k+1,linear,47,0,100,0.2,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.02211111111110392,0.1989999999999352,0,0,0,0
Beta,k50pct,k+1,softmax,47,0,100,0.2,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.021266666666671336,0.19140000000004195,800,2,10000,3
Beta,k50pct,k,linear,5,0,100,0.4,0.1111111111111111,0.11111111111111105,0.4834682944753757,0.5056905166975978,0.022222222222222088,0.044222222222228394,0.39800000000005575,0,0,0,0
Beta,k50pct,k,softmax,5,0,100,0.4,0.1111111111111111,0.11111111111111105,0.4834682944753757,0.5056905166975978,0.022222222222222088,0.04239999999999969,0.3815999999999974,800,2,10000,3
Beta,k50pct,k+1,linear,47,0,100,0.4,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.044222222222228616,0.39800000000005736,0,0,0,0
Beta,k50pct,k+1,softmax,47,0,100,0.4,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.039533333333333524,0.35580000000000156,800,2,10000,3
Beta,k50pct,k,linear,5,0,100,0.6,0.1111111111111111,0.1111111111111111,0.4834682944753757,0.46124607225315345,0.022222222222222254,0.06628352490421394,0.5965517241379255,0,0,0,0
Beta,k50pct,k,softmax,5,0,100,0.6,0.1111111111111111,0.1111111111111111,0.4834682944753757,0.46124607225315345,0.022222222222222254,0.06299999999999985,0.5669999999999986,800,2,10000,3
Beta,k50pct,k+1,linear,47,0,100,0.6,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.0662835249042168,0.5965517241379509,0,0,0,0
Beta,k50pct,k+1,softmax,47,0,100,0.6,0.1111111111111111,0.1111111111111111,0.4764551675276339,0.45423294530541164,0.022222222222222254,0.05666666666666664,0.5099999999999998,800,2,10000,3
Beta,k50pct,k,linear,5,0,100,0.8,0.1111111111111111,0.11111111111111105,0.4834682944753757,0.5056905166975978,0.022222222222222088,0.0882535412657589,0.7942818713918306,0,0,0,0
Beta,k50pct,k,softmax,5,0,100,0.8,0.1111111111111111,0.11111111111111105,0.4834682944753757,0.5056905166975978,0.022222222222222088,0.07939999999999998,0.7146000000000002,800,2,10000,3
Beta,k50pct,k+1,linear,47,0,100,0.8,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.08825354126575913,0.7942818713918318,0,0,0,0
Beta,k50pct,k+1,softmax,47,0,100,0.8,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.08279999999999925,0.7451999999999929,800,2,10000,3
Beta,k50pct,k,linear,5,0,100,1.0,0.1111111111111111,0.11111111111111105,0.4834682944753757,0.5056905166975978,0.022222222222222088,0.11006357204067987,0.9905721483661194,0,0,0,0
Beta,k50pct,k,softmax,5,0,100,1.0,0.1111111111111111,0.1111111111111111,0.4834682944753757,0.46124607225315345,0.022222222222222254,0.09993333333333305,0.8993999999999975,800,2,10000,3
