k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k10pct,2,2,17,200,5,20,1.0,0.2,3.573325722185656,6.200025477675968,0.17866628610928278,0.3100012738837984
k10pct,2,2,17,200,5,20,2.0,0.4,2.41890786639709,5.05041716246906,0.1209453933198545,0.252520858123453
k10pct,2,2,18,200,5,20,1.0,0.2,3.6511584493272995,6.357781989391873,0.18255792246636499,0.31788909946959365
k10pct,2,2,18,200,5,20,2.0,0.4,2.26395399392454,5.172649198208946,0.11319769969622699,0.2586324599104473
k10pct,2,2,19,200,5,20,1.0,0.2,3.683310517258848,6.375201042950593,0.18416552586294238,0.31876005214752967
k10pct,2,2,19,200,5,20,2.0,0.4,2.3028535462921784,5.193767135500886,0.11514267731460892,0.2596883567750443
k10pct,3,3,0,200,5,20,1.0,0.2,3.567826895524469,5.509773717979389,0.17839134477622345,0.27548868589896947
k10pct,3,3,0,200,5,20,2.0,0.4,2.4381974185907875,4.701907490871344,0.12190987092953938,0.2350953745435672
k10pct,3,3,1,200,5,20,1.0,0.2,3.231083519917755,5.31620746818591,0.16155417599588776,0.2658103734092955
k10pct,3,3,1,200,5,20,2.0,0.4,2.218768437784325,4.469806243056643,0.11093842188921625,0.22349031215283216
k10pct,3,3,2,200,5,20,1.0,0.2,3.4327919748995424,5.847843276833107,0.1716395987449771,0.29239216384165534
k10pct,3,3,2,200,5,20,2.0,0.4,2.0610394416675124,4.829305736744574,0.10305197208337562,0.24146528683722873
k10pct,3,3,3,200,5,20,1.0,0.2,3.271223874710463,5.197577122031431,0.16356119373552316,0.2598788561015716
k10pct,3,3,3,200,5,20,2.0,0.4,2.1979568511817433,4.433740198808785,0.10989784255908716,0.22168700994043924
k10pct,3,3,4,200,5,20,1.0,0.2,3.6804087946953015,5.855937167133622,0.18402043973476506,0.29279685835668107
k10pct,3,3,4,200,5,20,2.0,0.4,2.322261264635154,4.932112999212833,0.1161130632317577,0.24660564996064166
k10pct,3,3,5,200,5,20,1.0,0.2,3.0768724717127824,5.238285962001179,0.15384362358563913,0.26191429810005895
k10pct,3,3,5,200,5,20,2.0,0.4,1.984276515502664,4.395782538920905,0.0992138257751332,0.21978912694604524
k10pct,3,3,6,200,5,20,1.0,0.2,3.7608799688608876,5.7927598058467105,0.18804399844304437,0.2896379902923355
k10pct,3,3,6,200,5,20,2.0,0.4,2.5448176051293085,4.938532153307966,0.12724088025646543,0.24692660766539828
k10pct,3,3,7,200,5,20,1.0,0.2,3.7795760052214593,5.867025690055387,0.18897880026107297,0.29335128450276937
k10pct,3,3,7,200,5,20,2.0,0.4,2.4730579160466224,4.963454041578469,0.12365289580233112,0.24817270207892345
k10pct,3,3,8,200,5,20,1.0,0.2,3.2821531350370865,5.165294984344374,0.16410765675185432,0.2582647492172187
k10pct,3,3,8,200,5,20,2.0,0.4,2.2175786136074507,4.430905698803432,0.11087893068037254,0.22154528494017162
k10pct,3,3,9,200,5,20,1.0,0.2,3.3124954933352857,5.413872371709097,0.16562477466676429,0.2706936185854548
k10pct,3,3,9,200,5,20,2.0,0.4,2.1761234635513027,4.56037267336511,0.10880617317756514,0.22801863366825553
k10pct,3,3,10,200,5,20,1.0,0.2,3.6586562727009095,5.852413836089655,0.1829328136350455,0.29262069180448275
k10pct,3,3,10,200,5,20,2.0,0.4,2.4969869450637727,4.914823268722783,0.12484934725318864,0.24574116343613914
k10pct,3,3,11,200,5,20,1.0,0.2,3.241828044895769,5.234008663103944,0.16209140224478844,0.2617004331551972
k10pct,3,3,11,200,5,20,2.0,0.4,2.10798335615325,4.446107882435708,0.1053991678076625,0.2223053941217854
k10pct,3,3,12,200,5,20,1.0,0.2,3.737388777576383,5.8750166335841385,0.18686943887881916,0.2937508316792069
k10pct,3,3,12,200,5,20,2.0,0.4,2.438053511730871,4.9595863647732426,0.12190267558654355,0.24797931823866212
k10pct,3,3,13,200,5,20,1.0,0.2,3.4940418406593032,5.585002589768985,0.17470209203296516,0.27925012948844924
k10pct,3,3,13,200,5,20,2.0,0.4,2.2936733968957945,4.742617642378345,0.11468366984478973,0.23713088211891725
k10pct,3,3,14,200,5,20,1.0,0.2,3.28227281675235,5.430449182031042,0.1641136408376175,0.2715224591015521
k10pct,3,3,14,200,5,20,2.0,0.4,2.229049654613682,4.553005634531255,0.11145248273068412,0.22765028172656274
